model,pruned,predicate,data,scale,threads,time
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,1.65032,nyc-taxi-green-dec-2016,1G,2,1.3181137567851693
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,1.65032,nyc-taxi-green-dec-2016,1G,2,1.201471552811563
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,2.060412,nyc-taxi-green-dec-2016,1G,2,1.2122698315884919
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,2.060412,nyc-taxi-green-dec-2016,1G,2,1.0910143888089805
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,2.470504,nyc-taxi-green-dec-2016,1G,2,1.0100756991654634
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,2.470504,nyc-taxi-green-dec-2016,1G,2,0.8811721175909042
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,2.880597,nyc-taxi-green-dec-2016,1G,2,0.9575726957991719
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,2.880597,nyc-taxi-green-dec-2016,1G,2,0.8629285485949367
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,3.290689,nyc-taxi-green-dec-2016,1G,2,0.9573458098340779
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,3.290689,nyc-taxi-green-dec-2016,1G,2,0.847806800995022
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,3.700781,nyc-taxi-green-dec-2016,1G,2,0.9457992965821177
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,3.700781,nyc-taxi-green-dec-2016,1G,2,0.8653767702169717
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,1,4.110874,nyc-taxi-green-dec-2016,1G,2,0.9701556282117962
nyc-taxi-green-dec-2016_d10_l450_n899_20240921063302,2,4.110874,nyc-taxi-green-dec-2016,1G,2,0.8902897549793124
house_16H_d10_l488_n975_20240921064722,0,0.0,house_16H,1G,2,0.43213725499808786
house_16H_d10_l488_n975_20240921064722,1,5.635496,house_16H,1G,2,0.32064637141302227
house_16H_d10_l488_n975_20240921064722,2,5.635496,house_16H,1G,2,0.3198622110299766
house_16H_d10_l488_n975_20240921064722,1,6.463089,house_16H,1G,2,0.32082997960969806
house_16H_d10_l488_n975_20240921064722,2,6.463089,house_16H,1G,2,0.31864081639796493
house_16H_d10_l488_n975_20240921064722,1,7.290682,house_16H,1G,2,0.3153455535881221
house_16H_d10_l488_n975_20240921064722,2,7.290682,house_16H,1G,2,0.3198877102229744
house_16H_d10_l488_n975_20240921064722,1,8.118275,house_16H,1G,2,0.3121605623979121
house_16H_d10_l488_n975_20240921064722,2,8.118275,house_16H,1G,2,0.31415018839761616
house_16H_d10_l488_n975_20240921064722,1,8.945868,house_16H,1G,2,0.3227757112123072
house_16H_d10_l488_n975_20240921064722,2,8.945868,house_16H,1G,2,0.32114378702826796
house_16H_d10_l488_n975_20240921064722,1,9.773461,house_16H,1G,2,0.3411861066240817
house_16H_d10_l488_n975_20240921064722,2,9.773461,house_16H,1G,2,0.35455714180134235
house_16H_d10_l488_n975_20240921064722,1,10.601054,house_16H,1G,2,0.4002308060415089
house_16H_d10_l488_n975_20240921064722,2,10.601054,house_16H,1G,2,0.398152697365731
house_16H_d10_l488_n975_20240921064722,1,11.428647,house_16H,1G,2,0.4087911671958864
house_16H_d10_l488_n975_20240921064722,2,11.428647,house_16H,1G,2,0.3933691632002592
house_16H_d10_l488_n975_20240921064722,1,12.25624,house_16H,1G,2,0.3641395946033299
